property_type,City,Sector,price_per_sqft
Flat/Apartment,Chandigarh,Manimajra,8292.1
Flat/Apartment,Chandigarh,Sector 38 Chandigarh,11498.66
Flat/Apartment,Chandigarh,Sector 39 Chandigarh,11163.78
Flat/Apartment,Chandigarh,Sector 40 Chandigarh,5711.79
Flat/Apartment,Chandigarh,Sector 41 Chandigarh,7796.29
Flat/Apartment,Chandigarh,Sector 42 Chandigarh,12018.53
Flat/Apartment,Chandigarh,Sector 43 Chandigarh,13067.73
Flat/Apartment,Chandigarh,Sector 44 Chandigarh,11399.69
Flat/Apartment,Chandigarh,Sector 45 Chandigarh,9799.98
Flat/Apartment,Chandigarh,Sector 47 Chandigarh,11106.43
Flat/Apartment,Chandigarh,Sector 48 Chandigarh,11986.2
Flat/Apartment,Chandigarh,Sector 49 Chandigarh,12220.34
Flat/Apartment,Chandigarh,Sector 50 Chandigarh,12321.92
Flat/Apartment,Chandigarh,Sector 51 Chandigarh,12329.65
Flat/Apartment,Mohali,Aerocity,7071.79
Flat/Apartment,Mohali,Dera Bassi,3866.26
Flat/Apartment,Mohali,Dhakoli,4866.96
Flat/Apartment,Mohali,Kharar,4242.16
Flat/Apartment,Mohali,Kishanpura,3443.17
Flat/Apartment,Mohali,Mullanpur,7192.44
Flat/Apartment,Mohali,New Chandigarh,7293.97
Flat/Apartment,Mohali,Sector 104 Mohali,6483.07
Flat/Apartment,Mohali,Sector 105 Mohali,6308.03
Flat/Apartment,Mohali,Sector 110 Mohali,4384.49
Flat/Apartment,Mohali,Sector 111 Mohali,3824.53
Flat/Apartment,Mohali,Sector 113 Mohali,5180.29
Flat/Apartment,Mohali,Sector 114 Mohali,3946.78
Flat/Apartment,Mohali,Sector 115 Mohali,4401.06
Flat/Apartment,Mohali,Sector 116 Mohali,4784.13
Flat/Apartment,Mohali,Sector 117 Mohali,5372.88
Flat/Apartment,Mohali,Sector 120 Mohali,6790.21
Flat/Apartment,Mohali,Sector 121 Mohali,7728.65
Flat/Apartment,Mohali,Sector 126 Mohali,7050.84
Flat/Apartment,Mohali,Sector 127 Mohali,4373.57
Flat/Apartment,Mohali,Sector 57 Mohali,5134.09
Flat/Apartment,Mohali,Sector 61 Mohali,10536.07
Flat/Apartment,Mohali,Sector 63 Mohali,10068.0
Flat/Apartment,Mohali,Sector 64 Mohali,5236.27
Flat/Apartment,Mohali,Sector 65 Mohali,11394.12
Flat/Apartment,Mohali,Sector 66 Mohali,10073.63
Flat/Apartment,Mohali,Sector 67 Mohali,8914.63
Flat/Apartment,Mohali,Sector 68 Mohali,7667.31
Flat/Apartment,Mohali,Sector 70 Mohali,8874.1
Flat/Apartment,Mohali,Sector 74 Mohali,5666.85
Flat/Apartment,Mohali,Sector 76 Mohali,5864.64
Flat/Apartment,Mohali,Sector 77 Mohali,10280.15
Flat/Apartment,Mohali,Sector 78 Mohali,6117.58
Flat/Apartment,Mohali,Sector 79 Mohali,6211.7
Flat/Apartment,Mohali,Sector 82 Mohali,10407.67
Flat/Apartment,Mohali,Sector 83 Mohali,10049.62
Flat/Apartment,Mohali,Sector 85 Mohali,8164.86
Flat/Apartment,Mohali,Sector 86 Mohali,6598.55
Flat/Apartment,Mohali,Sector 88 Mohali,7367.25
Flat/Apartment,Mohali,Sector 90 Mohali,5952.52
Flat/Apartment,Mohali,Sector 91 Mohali,6373.14
Flat/Apartment,Mohali,Sector 92 Mohali,5444.98
Flat/Apartment,Mohali,Sector 97 Mohali,4752.36
Flat/Apartment,Mohali,Sector 99 Mohali,7308.25
Flat/Apartment,Mohali,Zirakpur,6374.63
Flat/Apartment,Panchkula,Amravati Enclave,8844.12
Flat/Apartment,Panchkula,Kalka,3901.18
Flat/Apartment,Panchkula,Mansa Devi Complex,9461.1
Flat/Apartment,Panchkula,Peer Muchalla,4458.54
Flat/Apartment,Panchkula,Sector 10 Panchkula,8411.54
Flat/Apartment,Panchkula,Sector 11 Panchkula,9431.62
Flat/Apartment,Panchkula,Sector 12 A Panchkula,7292.23
Flat/Apartment,Panchkula,Sector 12 Panchkula,10328.17
Flat/Apartment,Panchkula,Sector 14 Panchkula,6876.38
Flat/Apartment,Panchkula,Sector 15 Panchkula,9004.45
Flat/Apartment,Panchkula,Sector 16 Panchkula,10229.35
Flat/Apartment,Panchkula,Sector 17 Panchkula,9921.9
Flat/Apartment,Panchkula,Sector 19 Panchkula,23124.23
Flat/Apartment,Panchkula,Sector 2 Panchkula,10260.12
Flat/Apartment,Panchkula,Sector 20 Panchkula,8121.96
Flat/Apartment,Panchkula,Sector 21 Panchkula,10512.65
Flat/Apartment,Panchkula,Sector 23 Panchkula,8802.62
Flat/Apartment,Panchkula,Sector 24 Panchkula,10030.59
Flat/Apartment,Panchkula,Sector 27 Panchkula,8367.62
Flat/Apartment,Panchkula,Sector 28 Panchkula,6304.1
Flat/Apartment,Panchkula,Sector 31 Panchkula,5049.21
Flat/Apartment,Panchkula,Sector 4 Panchkula,9013.37
Flat/Apartment,Panchkula,Sector 7 Panchkula,12154.26
Flat/Apartment,Panchkula,Sector 8 panchkula,10073.39
Flat/Apartment,Panchkula,Sector 9 Panchkula,9582.11
House/Villa,Chandigarh,Daria,6426.22
House/Villa,Chandigarh,Manimajra,17452.54
House/Villa,Chandigarh,Naya Gaon,5483.2
House/Villa,Chandigarh,Sector 10 Chandigarh,28934.92
House/Villa,Chandigarh,Sector 11 Chandigarh,28597.36
House/Villa,Chandigarh,Sector 15 Chandigarh,24648.88
House/Villa,Chandigarh,Sector 16 Chandigarh,25877.53
House/Villa,Chandigarh,Sector 18 Chandigarh,28341.52
House/Villa,Chandigarh,Sector 19 Chandigarh,24938.71
House/Villa,Chandigarh,Sector 2 Chandigarh,26199.99
House/Villa,Chandigarh,Sector 20 Chandigarh,19920.66
House/Villa,Chandigarh,Sector 21 Chandigarh,26829.26
House/Villa,Chandigarh,Sector 22 Chandigarh,21693.15
House/Villa,Chandigarh,Sector 23 Chandigarh,22270.14
House/Villa,Chandigarh,Sector 27 Chandigarh,25234.74
House/Villa,Chandigarh,Sector 28 Chandigarh,23354.73
House/Villa,Chandigarh,Sector 30 Chandigarh,26168.5
House/Villa,Chandigarh,Sector 32 Chandigarh,22584.97
House/Villa,Chandigarh,Sector 33 Chandigarh,30977.7
House/Villa,Chandigarh,Sector 34 Chandigarh,27151.5
House/Villa,Chandigarh,Sector 35 Chandigarh,24031.75
House/Villa,Chandigarh,Sector 36 Chandigarh,24875.25
House/Villa,Chandigarh,Sector 37 Chandigarh,22377.72
House/Villa,Chandigarh,Sector 38 Chandigarh,22009.54
House/Villa,Chandigarh,Sector 39 Chandigarh,13519.92
House/Villa,Chandigarh,Sector 40 Chandigarh,21447.23
House/Villa,Chandigarh,Sector 41 Chandigarh,24444.44
House/Villa,Chandigarh,Sector 42 Chandigarh,22403.36
House/Villa,Chandigarh,Sector 43 Chandigarh,21536.19
House/Villa,Chandigarh,Sector 44 Chandigarh,21279.22
House/Villa,Chandigarh,Sector 45 Chandigarh,21682.74
House/Villa,Chandigarh,Sector 46 Chandigarh,24451.64
House/Villa,Chandigarh,Sector 47 Chandigarh,19228.65
House/Villa,Chandigarh,Sector 49 Chandigarh,8888.89
House/Villa,Chandigarh,Sector 7 Chandigarh,23745.55
House/Villa,Chandigarh,Sector 8 Chandigarh,30186.29
House/Villa,Chandigarh,Sector 9 Chandigarh,28945.3
House/Villa,Mohali,Aerocity,14341.23
House/Villa,Mohali,Airport Road,9180.34
House/Villa,Mohali,Bhago Majra,7586.51
House/Villa,Mohali,Dera Bassi,5460.85
House/Villa,Mohali,Dhakoli,9093.3
House/Villa,Mohali,Kharar,8602.23
House/Villa,Mohali,Kharar Landran Road,7334.57
House/Villa,Mohali,Kurali,7578.48
House/Villa,Mohali,Mohali,13236.76
House/Villa,Mohali,Mullanpur,13375.8
House/Villa,Mohali,New Chandigarh,14668.67
House/Villa,Mohali,Phase 1 Mohali,14415.7
House/Villa,Mohali,Phase 2 Mohali,15364.5
House/Villa,Mohali,Phase 6 Mohali,12782.34
House/Villa,Mohali,Sector 104 Mohali,10613.89
House/Villa,Mohali,Sector 105 Mohali,11802.47
House/Villa,Mohali,Sector 106 Mohali,10895.06
House/Villa,Mohali,Sector 108 Mohali,10721.7
House/Villa,Mohali,Sector 109 Mohali,9408.06
House/Villa,Mohali,Sector 110 Mohali,8301.11
House/Villa,Mohali,Sector 114 Mohali,9776.87
House/Villa,Mohali,Sector 115 Mohali,8182.04
House/Villa,Mohali,Sector 116 Mohali,7336.06
House/Villa,Mohali,Sector 117 Mohali,10835.14
House/Villa,Mohali,Sector 118 Mohali,13204.2
House/Villa,Mohali,Sector 126 Mohali,4786.01
House/Villa,Mohali,Sector 127 Mohali,8385.53
House/Villa,Mohali,Sector 58 Mohali,14978.64
House/Villa,Mohali,Sector 59 Mohali,15075.65
House/Villa,Mohali,Sector 60 Mohali,16564.32
House/Villa,Mohali,Sector 61 Mohali,15456.63
House/Villa,Mohali,Sector 63 Mohali,14463.04
House/Villa,Mohali,Sector 64 Mohali,16939.81
House/Villa,Mohali,Sector 65 Mohali,14749.39
House/Villa,Mohali,Sector 66 Mohali,16062.38
House/Villa,Mohali,Sector 67 Mohali,16495.3
House/Villa,Mohali,Sector 68 Mohali,17791.89
House/Villa,Mohali,Sector 69 Mohali,16791.48
House/Villa,Mohali,Sector 70 Mohali,15084.4
House/Villa,Mohali,Sector 71 Mohali,16078.42
House/Villa,Mohali,Sector 74 Mohali,13530.86
House/Villa,Mohali,Sector 77 Mohali,18129.05
House/Villa,Mohali,Sector 78 Mohali,19748.36
House/Villa,Mohali,Sector 79 Mohali,21046.65
House/Villa,Mohali,Sector 80 Mohali,19242.71
House/Villa,Mohali,Sector 82 Mohali,18718.66
House/Villa,Mohali,Sector 85 Mohali,14995.36
House/Villa,Mohali,Sector 88 Mohali,18149.73
House/Villa,Mohali,Sector 89 Mohali,19681.56
House/Villa,Mohali,Sector 91 Mohali,15054.79
House/Villa,Mohali,Sector 94 Mohali,15526.63
House/Villa,Mohali,Sector 97 Mohali,12186.17
House/Villa,Mohali,Shivalik City,8170.61
House/Villa,Mohali,Zirakpur,8171.33
House/Villa,Panchkula,Amravati Enclave,7820.2
House/Villa,Panchkula,Chandi Mandir,2708.91
House/Villa,Panchkula,Kalka,15388.89
House/Villa,Panchkula,Mansa Devi Complex,25849.49
House/Villa,Panchkula,Peer Muchalla,5767.59
House/Villa,Panchkula,Sector 10 Panchkula,21125.49
House/Villa,Panchkula,Sector 11 Panchkula,20003.62
House/Villa,Panchkula,Sector 12 A Panchkula,19980.08
House/Villa,Panchkula,Sector 12 Panchkula,20552.51
House/Villa,Panchkula,Sector 15 Panchkula,19136.3
House/Villa,Panchkula,Sector 16 Panchkula,21409.49
House/Villa,Panchkula,Sector 17 Panchkula,18731.04
House/Villa,Panchkula,Sector 18 Panchkula,18138.2
House/Villa,Panchkula,Sector 19 Panchkula,10788.18
House/Villa,Panchkula,Sector 2 Panchkula,19706.24
House/Villa,Panchkula,Sector 21 Panchkula,20295.6
House/Villa,Panchkula,Sector 23 Panchkula,22708.02
House/Villa,Panchkula,Sector 25 Panchkula,16179.38
House/Villa,Panchkula,Sector 26 Panchkula,17203.61
House/Villa,Panchkula,Sector 27 Panchkula,14829.55
House/Villa,Panchkula,Sector 28 Panchkula,17191.98
House/Villa,Panchkula,Sector 31 Panchkula,6427.92
House/Villa,Panchkula,Sector 4 Panchkula,19963.23
House/Villa,Panchkula,Sector 6 Panchkula,26720.37
House/Villa,Panchkula,Sector 7 Panchkula,23653.07
House/Villa,Panchkula,Sector 8 panchkula,23905.87
House/Villa,Panchkula,Sector 9 Panchkula,22662.87
